Warning: Design 'jaa' has '1' unresolved references. For more detailed information, use the "link" command. (UID-341)
Information: Updating design information... (UID-85)
 
****************************************
Report : cell
Design : jaa
Version: C-2009.06-SP5
Date   : Sun Jul  8 12:33:12 2018
****************************************

Attributes:
    b - black box (unknown)
    h - hierarchical
    n - noncombinational
    r - removable
   so - sizing only
    u - contains unmapped logic

Cell                      Reference       Library             Area  Attributes
--------------------------------------------------------------------------------
instructions_reg[106]     TLATX4          typical         56.548801 n, so
instructions_reg[107]     TLATX4          typical         56.548801 n, so
instructions_reg[108]     TLATX4          typical         56.548801 n, so
instructions_reg[109]     TLATX4          typical         56.548801 n, so
instructions_reg[110]     TLATX4          typical         56.548801 n, so
instructions_reg[111]     TLATX4          typical         56.548801 n, so
instructions_reg[112]     TLATX4          typical         56.548801 n, so
instructions_reg[113]     TLATX4          typical         56.548801 n, so
instructions_reg[114]     TLATX4          typical         56.548801 n, so
instructions_reg[115]     TLATX4          typical         56.548801 n, so
instructions_reg[116]     TLATX4          typical         56.548801 n, so
instructions_reg[117]     TLATX4          typical         56.548801 n, so
instructions_reg[118]     TLATX4          typical         56.548801 n, so
instructions_reg[119]     TLATX4          typical         56.548801 n, so
instructions_reg[120]     TLATX4          typical         56.548801 n, so
instructions_reg[121]     TLATX4          typical         56.548801 n, so
instructions_reg[122]     TLATX4          typical         56.548801 n, so
instructions_reg[123]     TLATX4          typical         56.548801 n, so
instructions_reg[124]     TLATX4          typical         56.548801 n, so
instructions_reg[125]     TLATX4          typical         56.548801 n, so
instructions_reg[126]     TLATX4          typical         56.548801 n, so
instructions_reg[127]     TLATX4          typical         56.548801 n, so
instructions_reg[128]     TLATX4          typical         56.548801 n, so
instructions_reg[129]     TLATX4          typical         56.548801 n, so
instructions_reg[130]     TLATX4          typical         56.548801 n, so
instructions_reg[131]     TLATX4          typical         56.548801 n, so
instructions_reg[132]     TLATX4          typical         56.548801 n, so
instructions_reg[133]     TLATX4          typical         56.548801 n, so
instructions_reg[134]     TLATX4          typical         56.548801 n, so
instructions_reg[135]     TLATX4          typical         56.548801 n, so
instructions_reg[136]     TLATX4          typical         56.548801 n, so
instructions_reg[137]     TLATX4          typical         56.548801 n, so
instructions_reg[138]     TLATX4          typical         56.548801 n, so
instructions_reg[139]     TLATX4          typical         56.548801 n, so
instructions_reg[140]     TLATX4          typical         56.548801 n, so
instructions_reg[141]     TLATX4          typical         56.548801 n, so
instructions_reg[142]     TLATX4          typical         56.548801 n, so
instructions_reg[143]     TLATX4          typical         56.548801 n, so
instructions_reg[144]     TLATX4          typical         56.548801 n, so
instructions_reg[145]     TLATX4          typical         56.548801 n, so
